site,dec_tag,detected,reader,antenna
Lower Avochie,989.001039943463,27/04/2023,1,6
Lower Avochie,989.001039944524,27/04/2023,1,8
Upper Avochie,989.001039944524,27/04/2023,1,4
Upper Avochie,989.001039944160,27/04/2023,1,3
Upper Avochie,989.001039942224,26/04/2023,1,1
Lower Avochie,989.001039945326,26/04/2023,1,8
Lower Avochie,989.001039944650,26/04/2023,1,7
Upper Avochie,989.001039944650,26/04/2023,1,4
Upper Avochie,989.001039945326,26/04/2023,1,5
Upper Avochie,989.001039943463,26/04/2023,1,2
Lower Avochie,989.001039943707,26/04/2023,1,7
Upper Avochie,989.001039943707,26/04/2023,1,1
Upper Avochie,989.001039944712,26/04/2023,1,5
Lower Avochie,989.001039943626,26/04/2023,1,8
Upper Avochie,989.001039943626,26/04/2023,1,3
Lower Avochie,989.001039944628,26/04/2023,1,7
Upper Avochie,989.001039945266,26/04/2023,1,2
Upper Avochie,989.001039944215,26/04/2023,1,3
Upper Avochie,989.001039944349,26/04/2023,1,4
Upper Avochie,989.001039943581,26/04/2023,1,4
Lower Avochie,989.001039943499,26/04/2023,1,7
Upper Avochie,989.001039944929,26/04/2023,1,4
Upper Avochie,989.001039943499,26/04/2023,1,4
Upper Avochie,989.001039943957,26/04/2023,1,5
Upper Avochie,989.001039943498,26/04/2023,1,5
Lower Avochie,989.001039944666,26/04/2023,1,7
Upper Avochie,989.001039942184,26/04/2023,1,5
Upper Avochie,989.001039940985,25/04/2023,1,2
Upper Avochie,989.001039943708,25/04/2023,1,4
Lower Avochie,989.001039945216,25/04/2023,1,7
Upper Avochie,989.001039943562,25/04/2023,1,4
Upper Avochie,989.001039944674,25/04/2023,1,4
Upper Avochie,989.001039945126,25/04/2023,1,4
Upper Avochie,989.001039943659,25/04/2023,1,4
Upper Avochie,989.001039943904,25/04/2023,1,2
Upper Avochie,989.001039941057,25/04/2023,1,4
Upper Avochie,989.001039943515,25/04/2023,1,4
Upper Avochie,989.001039944906,25/04/2023,1,4
Lower Avochie,989.001039944265,25/04/2023,1,7
Upper Avochie,989.001039944265,25/04/2023,1,4
Upper Avochie,989.001039945318,25/04/2023,1,5
Upper Avochie,989.001039943983,25/04/2023,1,4
Upper Avochie,989.001039944351,25/04/2023,1,4
Upper Avochie,989.001039944647,25/04/2023,1,5
Upper Avochie,989.001039941008,25/04/2023,1,3
Upper Avochie,989.001039944327,25/04/2023,1,3
Upper Avochie,989.001039943617,24/04/2023,1,3
Lower Avochie,989.001039944916,24/04/2023,1,8
Upper Avochie,989.001039944916,24/04/2023,1,4
Upper Avochie,989.001039943409,24/04/2023,1,4
Upper Avochie,989.001039944344,24/04/2023,1,2
Lower Avochie,989.001039945225,24/04/2023,1,8
Upper Avochie,989.001039945225,24/04/2023,1,3
Upper Avochie,989.001039945225,24/04/2023,1,4
Upper Avochie,989.001039945334,24/04/2023,1,4
Upper Avochie,989.001039945231,24/04/2023,1,4
Upper Avochie,989.001039943495,24/04/2023,1,5
Upper Avochie,989.001039943873,24/04/2023,1,4
Upper Avochie,989.001039944537,24/04/2023,1,5
Lower Avochie,989.001039943494,24/04/2023,1,6
Upper Avochie,989.001039943494,24/04/2023,1,3
Upper Avochie,989.001039943890,23/04/2023,1,4
Upper Avochie,989.001039945326,22/04/2023,1,4
Lower Avochie,989.001039943719,22/04/2023,1,7
Upper Avochie,989.001039943719,22/04/2023,1,4
Lower Avochie,989.001039944591,22/04/2023,1,8
Upper Avochie,989.001039944591,22/04/2023,1,4
Upper Avochie,989.001039943715,21/04/2023,1,3
Upper Avochie,989.001039944309,21/04/2023,1,5
Lower Avochie,989.001039944804,21/04/2023,1,7
Upper Avochie,989.001039944562,21/04/2023,1,2
Lower Avochie,989.001039944638,21/04/2023,1,8
Upper Avochie,989.001039944324,21/04/2023,1,3
Lower Avochie,989.001039944510,21/04/2023,1,7
Upper Avochie,989.001039944510,21/04/2023,1,4
Upper Avochie,989.001039944878,21/04/2023,1,5
Upper Avochie,989.001039944543,20/04/2023,1,5
Upper Avochie,989.001039945300,20/04/2023,1,4
Upper Avochie,989.001039945326,19/04/2023,1,3
Upper Avochie,989.001039944593,19/04/2023,1,5
Upper Avochie,989.001039943815,19/04/2023,1,4
Lower Avochie,989.001039943632,18/04/2023,1,8
Upper Avochie,989.001039945326,18/04/2023,1,2
Lower Avochie,989.001039944637,18/04/2023,1,7
Upper Avochie,989.001039944637,18/04/2023,1,5
Upper Avochie,989.001039944709,18/04/2023,1,3
Upper Avochie,989.001039945291,18/04/2023,1,2
Lower Avochie,989.001039943377,17/04/2023,1,7
Upper Avochie,989.001039943377,17/04/2023,1,2
Upper Avochie,989.001039944613,17/04/2023,1,5
Upper Avochie,989.001039945108,17/04/2023,1,4
Upper Avochie,989.001039945154,17/04/2023,1,5
Upper Avochie,989.001039940975,17/04/2023,1,5
Lower Avochie,989.001039944783,16/04/2023,1,8
Lower Avochie,989.001039945221,16/04/2023,1,8
Upper Avochie,989.001039945221,16/04/2023,1,5
Lower Avochie,989.001039944554,16/04/2023,1,8
Upper Avochie,989.001039944554,16/04/2023,1,4
Lower Avochie,989.001039943380,16/04/2023,1,8
Upper Avochie,989.001039943380,16/04/2023,1,4
Upper Avochie,989.001039942259,16/04/2023,1,1
Upper Avochie,989.001039944547,16/04/2023,1,4
Upper Avochie,989.001039943822,16/04/2023,1,2
Upper Avochie,989.001039945229,15/04/2023,1,2
Lower Avochie,989.001039944546,15/04/2023,1,7
Lower Avochie,989.001039944480,15/04/2023,1,8
Upper Avochie,989.001039944480,15/04/2023,1,1
Upper Avochie,989.001039944546,15/04/2023,1,4
Lower Avochie,989.001039944785,15/04/2023,1,8
Upper Avochie,989.001039943534,15/04/2023,1,4
