site,dec_tag,detected,reader,antenna
XAD,989.001039940971,04/05/2023 13:20,1,2
XAD,989.001039940971,04/05/2023 13:19,1,2
XAD,989.001039943701,04/05/2023 05:38,1,8
XAD,989.001039943701,04/05/2023 05:37,1,8
XAD,989.001039943701,04/05/2023 05:36,1,8
XAD,989.001039943701,04/05/2023 05:35,1,8
XAD,989.001039943701,04/05/2023 05:34,1,8
XAD,989.001039943701,04/05/2023 05:33,1,8
XAD,989.001039943701,04/05/2023 05:32,1,8
XAD,989.001039943701,04/05/2023 05:31,1,8
XAD,989.001039943701,04/05/2023 05:30,1,8
XAD,989.001039943701,04/05/2023 05:29,1,8
XAD,989.001039943701,04/05/2023 05:28,1,8
XAD,989.001039943701,04/05/2023 05:27,1,8
XAD,989.001039943701,04/05/2023 05:26,1,8
XAD,989.001039943701,04/05/2023 05:25,1,8
XAD,989.001039943701,04/05/2023 05:24,1,8
XAD,989.001039943701,04/05/2023 05:23,1,8
XAD,989.001039943701,04/05/2023 05:22,1,8
XAD,989.001039943701,04/05/2023 05:21,1,8
XAD,989.001039943701,04/05/2023 05:20,1,8
XAD,989.001039943701,04/05/2023 05:19,1,8
XAD,989.001039943701,04/05/2023 05:18,1,8
XAD,989.001039943701,04/05/2023 05:17,1,8
XAD,989.001039943701,04/05/2023 05:16,1,8
XAD,989.001039942174,04/05/2023 01:02,1,3
XAD,989.001039943701,03/05/2023 22:36,1,8
XAD,989.001039940971,30/04/2023 00:22,1,3
XAD,989.001039943653,29/04/2023 02:54,1,4
XAD,989.001039943653,29/04/2023 02:53,1,4
XAD,989.001039943653,29/04/2023 02:52,1,4
XAD,989.001039944337,29/04/2023 02:02,1,8
XAD,989.001039943492,29/04/2023 01:58,1,5
XAD,989.001039944940,29/04/2023 01:45,1,4
XAD,989.001039944254,29/04/2023 01:41,1,6
XAD,989.001039944694,29/04/2023 01:36,1,4
XAD,989.001039944778,29/04/2023 00:15,1,4
XAD,989.001039943859,28/04/2023 23:55,1,6
XAD,989.001039945111,28/04/2023 23:51,1,4
XAD,989.001039943781,28/04/2023 23:41,1,8
XAD,989.001039944953,28/04/2023 23:22,1,8
XAD,989.001039945116,28/04/2023 23:11,1,4
XAD,989.001039944568,28/04/2023 22:49,1,4
XAD,989.001039943768,28/04/2023 22:46,1,3
XAD,989.001039945160,28/04/2023 22:45,1,4
XAD,989.001039943757,28/04/2023 22:16,1,6
XAD,989.001039943469,28/04/2023 22:14,1,3
XAD,989.001039944284,28/04/2023 22:14,1,1
XAD,989.001039943630,28/04/2023 22:12,1,8
XAD,989.001039943630,28/04/2023 22:11,1,3
XAD,989.001039943733,28/04/2023 21:40,1,2
XAD,989.001039944101,28/04/2023 21:35,1,2
XAD,989.001039943847,28/04/2023 21:33,1,4
XAD,989.001039944642,28/04/2023 01:34,1,6
XAD,989.001039944642,28/04/2023 01:33,1,1
XAD,989.001039944307,27/04/2023 23:46,1,3
XAD,989.001039943463,27/04/2023 21:50,1,6
XAD,989.001039944524,27/04/2023 00:59,1,8
XAD,989.001039944524,27/04/2023 00:58,1,4
XAD,989.001039944160,27/04/2023 00:33,1,3
XAD,989.001039942224,26/04/2023 22:55,1,1
XAD,989.001039945326,26/04/2023 22:36,1,8
XAD,989.001039944650,26/04/2023 22:00,1,7
XAD,989.001039944650,26/04/2023 21:59,1,4
XAD,989.001039945326,26/04/2023 21:40,1,5
XAD,989.001039943463,26/04/2023 02:36,1,2
XAD,989.001039943463,26/04/2023 02:36,1,2
XAD,989.001039943707,26/04/2023 02:33,1,7
XAD,989.001039943707,26/04/2023 02:33,1,7
XAD,989.001039943707,26/04/2023 02:33,1,1
XAD,989.001039943707,26/04/2023 02:33,1,1
XAD,989.001039944712,26/04/2023 02:14,1,5
XAD,989.001039944712,26/04/2023 02:14,1,5
XAD,989.001039943626,26/04/2023 02:01,1,8
XAD,989.001039943626,26/04/2023 02:01,1,8
XAD,989.001039943626,26/04/2023 02:00,1,3
XAD,989.001039943626,26/04/2023 02:00,1,3
XAD,989.001039944628,26/04/2023 01:53,1,7
XAD,989.001039944628,26/04/2023 01:53,1,7
XAD,989.001039945266,26/04/2023 01:51,1,2
XAD,989.001039945266,26/04/2023 01:51,1,2
XAD,989.001039944215,26/04/2023 01:45,1,3
XAD,989.001039944215,26/04/2023 01:45,1,3
XAD,989.001039944349,26/04/2023 01:43,1,4
XAD,989.001039944349,26/04/2023 01:43,1,4
XAD,989.001039943581,26/04/2023 01:39,1,4
XAD,989.001039943581,26/04/2023 01:39,1,4
XAD,989.001039943499,26/04/2023 01:15,1,7
XAD,989.001039943499,26/04/2023 01:15,1,7
XAD,989.001039944929,26/04/2023 01:14,1,4
XAD,989.001039944929,26/04/2023 01:14,1,4
XAD,989.001039943499,26/04/2023 01:14,1,4
XAD,989.001039943499,26/04/2023 01:14,1,4
XAD,989.001039943957,26/04/2023 01:11,1,5
XAD,989.001039943957,26/04/2023 01:11,1,5
XAD,989.001039943498,26/04/2023 00:36,1,5
XAD,989.001039943498,26/04/2023 00:36,1,5
XAD,989.001039944666,26/04/2023 00:19,1,7
XAD,989.001039944666,26/04/2023 00:19,1,7
XAD,989.001039942184,26/04/2023 00:02,1,5
XAD,989.001039942184,26/04/2023 00:02,1,5
XAD,989.001039940985,25/04/2023 23:57,1,2
XAD,989.001039940985,25/04/2023 23:57,1,2
XAD,989.001039943708,25/04/2023 23:56,1,4
XAD,989.001039943708,25/04/2023 23:56,1,4
XAD,989.001039945216,25/04/2023 23:55,1,7
XAD,989.001039945216,25/04/2023 23:55,1,7
